kriter,saglayici,cevap,kanit_turu,kaynak_url,not
Abonelik ürünü zorunlu mu,Craftgate,DOĞRULANAMADI,EVIDENCE_GATED,https://developer.craftgate.io/api,
Abonelik ürünü zorunlu mu,Lemon Squeezy,EVET — tekrarlayan tahsilat yalnız abonelik variant'ı üzerinden mümkündür,resmi dokümantasyon,https://docs.lemonsqueezy.com/help/products/subscriptions,
İlk ödemede 3DS,iyzico,3DS veya NON3D seçilebilir; hosted Checkout Form ile 3DS akışı desteklenir,resmi dokümantasyon,https://docs.iyzico.com/odeme-metotlari/odeme-formu,İlk ödemenin 3DS yapılması önerilir (ihtilaf sorumluluğu)
İlk ödemede 3DS,PayTR,iFrame akışında kart bilgisi PayTR'nin barındırdığı formda girilir ve 3DS akışı sağlanır,resmi dokümantasyon,https://dev.paytr.com/en/iframe-api,
İlk ödemede 3DS,Craftgate,DOĞRULANAMADI,EVIDENCE_GATED,https://developer.craftgate.io/api,
İlk ödemede 3DS,Lemon Squeezy,Lemon Squeezy'nin barındırdığı checkout tarafından yönetilir,resmi dokümantasyon,https://docs.lemonsqueezy.com/api/checkouts/create-checkout,
Sonraki tahsilatlarda 3DS/OTP,iyzico,NON3D — kart sahibi yönlendirilmeden tahsilat yapılır,resmi dokümantasyon,https://docs.iyzico.com/on-hazirliklar/api-reference-beta/kart-saklama,"""kart sahibini banka doğrulama adımına yönlendirmeden ödeme alabilir"""
Sonraki tahsilatlarda 3DS/OTP,PayTR,NON3D — kullanıcıdan ek işlem veya bilgi istenmez,resmi dokümantasyon,https://dev.paytr.com/en/direkt-api/kart-saklama-api/kayitli-kart-tekrarlayan-odeme,"""Transactions will take place as Non3D (Non Secure)"""
Sonraki tahsilatlarda 3DS/OTP,Craftgate,DOĞRULANAMADI,EVIDENCE_GATED,https://developer.craftgate.io/api,
Sonraki tahsilatlarda 3DS/OTP,Lemon Squeezy,Sağlayıcı yönetir; üye işyeri kontrol etmez,resmi dokümantasyon,https://docs.lemonsqueezy.com/help/products/subscriptions,
Ham kart verisi uygulamaya girer mi,iyzico,HAYIR olabilir — hosted Checkout Form ile kart iyzico ekranında girilir; ancak CF init şemasında kart saklama parametresi belgelenmemiş (AÇIK SORU),resmi dokümantasyon,https://docs.iyzico.com/odeme-metotlari/odeme-formu/cf-entegrasyonu/cf-baslatma,CF init parametreleri arasında registerCard görünmüyor — iyzico'dan yazılı teyit gerekli
Ham kart verisi uygulamaya girer mi,PayTR,EVET (kart saklama için) — Yeni Kart Ekleme akışı üye işyerinin kendi formundan card_number/cvv POST etmesini gerektirir,resmi dokümantasyon,https://dev.paytr.com/en/direkt-api/kart-saklama-api/yeni-kart-ekleme,Taktic'in ham kart verisi kısıtını ihlal eder; PCI DSS kapsamını büyütür
Ham kart verisi uygulamaya girer mi,Craftgate,DOĞRULANAMADI,EVIDENCE_GATED,https://developer.craftgate.io/api,
Ham kart verisi uygulamaya girer mi,Lemon Squeezy,HAYIR — kart Lemon Squeezy checkout'unda girilir,resmi dokümantasyon,https://docs.lemonsqueezy.com/api/checkouts/create-checkout,
Webhook imza doğrulama,iyzico,HMAC-SHA256 + HEX; X-IYZ-SIGNATURE-V3 başlığı; hesapta özelliğin açılması gerekir,resmi dokümantasyon,https://docs.iyzico.com/ek-servisler/webhook,Mevcut Lemon Squeezy imza modeliyle birebir aynı mimari
Webhook imza doğrulama,PayTR,HMAC-SHA256 + base64; hash = merchant_oid + merchant_salt + status + total_amount,resmi dokümantasyon,https://dev.paytr.com/en/iframe-api/iframe-api-2-adim,Callback düz metin OK dönmelidir
Webhook imza doğrulama,Craftgate,Webhook bölümü mevcut ancak doğrulanamadı,EVIDENCE_GATED,https://developer.craftgate.io/en/webhook/,
Webhook imza doğrulama,Lemon Squeezy,HMAC-SHA256 imza (mevcut entegrasyonda uygulanmış durumda),mevcut kod,apps/api/src/modules/payments/lemon-squeezy.webhook.ts,
Idempotency,iyzico,conversationId istek/yanıt eşleştirme içindir; gerçek bir idempotency anahtarı olarak belgelenmemiştir (AÇIK SORU),resmi dokümantasyon,https://docs.iyzico.com/odeme-metotlari/api/non-3ds/non-3ds-entegrasyonu/odeme-olusturma,Çift tahsilat koruması uygulama tarafında kalmalı
Idempotency,PayTR,merchant_oid benzersizdir; aynı ödeme için birden çok bildirim gelebileceği ve yalnız ilkinin dikkate alınması gerektiği açıkça yazılıdır; bildirim tekrar denenir,resmi dokümantasyon,https://dev.paytr.com/en/iframe-api/iframe-api-2-adim,"""multiple notifications for the same payment transaction can be received"""
Idempotency,Craftgate,DOĞRULANAMADI,EVIDENCE_GATED,https://developer.craftgate.io/api,
Idempotency,Lemon Squeezy,Olay bazlı; uygulama tarafında eventKey + providerOrderId UNIQUE ile çözülmüş,mevcut kod,prisma/schema.prisma,
Yayınlanmış komisyon,iyzico,"Yayınlanmış liste: %4,29 + 0,25 TL işlem ücreti; kurumsal özel teklif %3,99 + 0,25 TL; başlangıç/sabit ücret yok; Kart Saklama eklentisi 99 TL aktivasyon",resmi fiyat sayfası,https://www.iyzico.com/destek/yardim-merkezi/genel-bilgiler/fiyatlandirma,Nihai oran yine de QUOTE_REQUIRED
Yayınlanmış komisyon,PayTR,QUOTE_REQUIRED — oran yayınlanmamış; kuruluş/entegrasyon/aylık ücret olmadığı belirtiliyor,resmi site,https://www.paytr.com/en/virtual-pos,
Yayınlanmış komisyon,Craftgate,QUOTE_REQUIRED,resmi site,https://craftgate.io/en,
Yayınlanmış komisyon,Lemon Squeezy,Yayınlanmış fiyat sayfası mevcut,resmi fiyat sayfası,https://www.lemonsqueezy.com/pricing,Bu build'de canlı mod zaten kapalı
Türkiye operasyonu / mevzuat,iyzico,Türkiye'de lisanslı ödeme kuruluşu; TL tahsilat ve yerel kart taksitlendirme mevcut,resmi mevzuat + sağlayıcı,https://www.mevzuat.gov.tr/MevzuatMetin/yonetmelik/7.5.39080.pdf,Taktic kendi hizmet bedelini tahsil ettiği sürece ödeme kuruluşu lisansı gerekmez
Türkiye operasyonu / mevzuat,PayTR,Türkiye'de lisanslı ödeme kuruluşu,resmi mevzuat,https://www.mevzuat.gov.tr/MevzuatMetin/yonetmelik/7.5.39080.pdf,
Türkiye operasyonu / mevzuat,Craftgate,Türkiye merkezli ödeme orkestrasyonu,resmi site,https://craftgate.io/en,
Türkiye operasyonu / mevzuat,Lemon Squeezy,Yurt dışı merchant of record; TL tahsilat ve yerel taksit yok; bu build'de canlı mod boot seviyesinde reddediliyor,mevcut kod,apps/api/src/modules/payments/payment-provider.config.ts,
